"","Continent_Name","geo","country","lifeeexp_2021","Income per person","GDP total","growth_2021","date","people_fully_vaccinated_per_hundred","people_vaccinated_per_hundred","verficiation_vaccination_par_100","total_vaccinations_per_hundred","people_fully_vaccinated","total_boosters","total_vaccinations","population_2021"
"1","Asia","afg","Afghanistan",64.74,1950,77660991250,2.17,2021-12-20,8.95,11.04,13.1257683487171,13.13,3566192,NA,5228706,39835428
"2","Europe","alb","Albania",78.7,13950,40078428539,4.17,2021-12-20,35.1,38.96,78.352304647444,78.35,1008465,123115,2251010,2872934
"3","Africa","dza","Algeria",78.49,10735,478970233056,1.01,2021-12-20,12.45,15.73,27.8759850644018,27.88,5554702,25381,12437324,44616626
"4","Europe","and","Andorra",NA,63705,4927820447,3.44,2021-12-20,65.35,73.21,149.583731933707,149.58,50551,8530,115709,77354
"5","Africa","ago","Angola",65.71,6060,205637996110,-0.6,2021-12-20,10.49,21.35,31.8424142953722,31.84,3559041,NA,10805281,33933611
"6","North America","atg","Antigua and Barbuda",77.54,17075,1685787899,10.29,2021-12-20,58.63,62.72,121.352605137347,121.35,57888,NA,119809,98728
"7","Europe","aze","Azerbaijan",71.28,13773,140804665584,0.49,2021-12-20,45.41,50.29,108.25177163167,108.25,4641918,1284115,11066951,10223344
"8","Asia","aze","Azerbaijan",71.28,13773,140804665584,0.49,2021-12-20,45.41,50.29,108.25177163167,108.25,4641918,1284115,11066951,10223344
"9","South America","arg","Argentina",77.25,20613,940072982184,1.46,2021-12-20,69.61,82.59,161.606547479694,161.61,31747174,4125486,73701996,45605823
"10","Oceania","aus","Australia",83,50130,1292771256938,2.02,2021-12-20,75.96,78.9,160.715500416334,160.72,19587839,1511654,41445662,25788217
"11","Europe","aut","Austria",82.25,53632,484999571086,3.48,2021-12-20,70.13,72.54,176.345792668686,176.35,6341664,3388226,15947077,9043072
"12","North America","bhs","Bahamas",74.34,30985,12298267893,7.3,2021-12-20,36.73,39.61,73.8764568647112,73.88,145793,NA,293226,396914
"13","Asia","bhr","Bahrain",80.02,42277,73912627833,1.13,2021-12-20,66.93,68.42,178.58210427874,178.58,1170160,NA,3122142,1748295
"14","Asia","bgd","Bangladesh",74.23,5029,836416089227,6.39,2021-12-20,26.9,52.64,79.5427521204094,79.54,44735702,NA,132282376,166303494
"15","Europe","arm","Armenia",76.18,12745,37828076148,3.54,2021-12-20,19.63,29.3,48.9323236733726,48.93,582624,NA,1452374,2968128
"16","Asia","arm","Armenia",76.18,12745,37828076148,3.54,2021-12-20,19.63,29.3,48.9323236733726,48.93,582624,NA,1452374,2968128
"17","North America","brb","Barbados",77.57,13347,3840019377,7.43,2021-12-20,49.37,53.96,103.328722176651,103.33,142043,NA,297285,287708
"18","Europe","bel","Belgium",82.02,50103,582820133539,2.65,2021-12-20,75.4,76.41,178.321616280963,178.32,8771125,3505951,20742966,11632334
